Reference	ID	Tags	Quote	Occurrence	Question	Response
front	vj0h	intro				# A Guide to Using the Stories in the OBS\n\n## The Reason for the Stories\n\nThe stories in the OBS tell about things that happened in the Bible. However, the stories are shorter than the Bible accounts, and the language is often easier to understand. The stories can help people learn about who God is and about what he has done. Also, each paragraph of a story has an image that can help people understand what happened in Bible times when clothing, houses, and culture were very different than they are today.\n\n## The Parts of the Stories\n\nThe Stories in the OBS can be used by individuals or groups of people who want to learn about God. The OBS includes several things to help people use the stories:\n\n- The text of the stories\n- The images in the stories\n- The study notes in the stories\n- The questions for the stories\n\n## How to Use the Stories\n\nWe suggest you use the stories in the following way:\n\n1. **Choose a story to read.** The stories will be easier to understand if you read the stories in order, beginning with the first story.\n1. **Read the story.** In a group, one person may read the story aloud, or the people may take turns reading portions.\n1. **Look at the images.** Use the images to help you understand what happened in the time of the story. Try to identify the people in the images.\n1. **Refer to the Notes.** Read the study notes whenever there is a word or something else that you do not understand in the story.\n1. **Discuss the Questions.** Read each question and think about the answer. The first set of questions help you see what the story says. The next set of questions help you think about what the story means to you. If you are in a group, allow different people to offer answers to the questions. Look at the answer to each question and see how it is the same as your answer, or different from it.\n1. **Read the Summary.** Read the story summary at the end of the questions. Think about what you have learned about God in the story. If you are in a group, ask the group what they have learned from the story.\n
1:1-8	toi2	meaning			What did God do in order to create everything except the first people?	God only spoke, and the universe and everything in it appeared. In that way, he showed his great power.
1:9	egb5	application			In what way are people like God and made in his image? How are they different than God?	God made people to be like God, but not the same as God. That is, people have some of the characteristics of God that the animals do not have. However, people are not equal to God. They are in God’s image because they are like God in some ways (See: [1:9](01/09)).
1:9-10	nqcu	meaning			In what way did God decide to make people to be different than the animals?	God decided to make people in God’s image and to be like him. He also decided to give them power over all of the earth and over the animals (See: [1:9](01/09)).
1:10	jkeb	application			Why do you think God made the man and the woman in a different way than he made the universe and the other things in the earth?	God creates people in a more personal way than he created everything else. He formed the man from dust and breathed life into him. Then God formed the woman from one of the man’s ribs. In this way, he showed that people were very important to him, and that they have a special purpose in creation (See: [1:10](01/10), [1:13](01/13)).
1:11	o115	meaning			What two special trees did God plant in the garden?	God planted many trees in the garden, but he also planted two special trees. He planted the tree of life in the garden and told Adam that he could eat its fruit. He also planted the tree of the knowledge of good and evil there and told Adam he would die if he ate fruit from that tree (See: [1:11](01/11)).
1:11	ypnk	application			Why do you think God put the tree of the knowledge of good and evil in the garden when he did not want Adam to eat its fruit?	God wanted Adam to be able to choose whether or not to obey God. Therefore, God planted the tree of the knowledge of good and evil in the garden where Adam was. However, he warned Adam clearly that he would die if he ate fruit from that tree. And God allowed Adam to eat fruit from every other tree, so there was no reason for Adam to disobey God (See: [1:11](01/11)).
1:12-14	jl8m	meaning			What did God do so that the man would not be alone?	God wanted Adam to have a helper who would be like Adam. But none of the animals were like Adam, so they could not be his helper. Therefore, God took one of Adam’s ribs and made the woman from it to be a helper for Adam (See: [1:12](01/12), [1:13](01/13)).
1:13	txrb	application			Why do you think God made the woman from the man rather than from the soil?	God wanted the man and the woman to become one. Therefore, he did not make the woman separately from Adam. Instead, God took part of Adam and made her from that. When Adam saw her, he understood that she was very much like Adam, and that God had made her especially for him (See: [1:13](01/13)).
1:14	ndh8	application			How do you think a man becomes one with his wife?	God wants a man and his wife to have a special bond that is closer than their connection to any other person. It is even closer than the bond with their parents. As they grow to know each other more, they begin to think in similar ways and value the same things. People who have been married a long time often seem to know what each other is thinking without even speaking (See: [1:14](01/14)).
1:1-15	tmdk	meaning			What all did God create?	God made the universe and everything in it. He made light. He made the sun, moon, and stars. He made the earth with its sea and dry land. He made all the plants, birds, and animals. And he made the first man and woman, and a made a garden where they could live.
1:15	snic	application			Why did God decide that everything he had made was very good?	God created everything so that everything would work together to accomplish what he wanted to happen (See: [1:15](01/15)).
1:16	fs3g	meaning			What did God do after he finished making everything?	After God finished making everything in six days, he rested on the seventh day. God was not tired, but he had finished his work of making everything. He blessed the seventh day and made it a special day (See: [1:16](01/16)).
1:16	tqz7	application			What did God want people to do on the seventh day?	God made the seventh day a special day. On that day, he wanted people to stop doing their normal work. Instead, they should remember that God created them and everything around them. Because they would not work on the seventh day, they would have more time to honor God and think about him than they did on the other days of the week (See: [1:16](01/16)).
1:1-16	kn32	summary				God created everything that exists. He simply spoke, and the entire universe appeared out of nothing. However, God formed the first man and woman in a more personal way. He breathed life into the man, and then formed the woman from the man. God wanted people to be like him in ways that animals are not. God finished his work in six days, and set the seventh day apart as a time for people to remember how he had made everything.
2:1	ip61	meaning			What did Adam and Eve need that they did not have in the garden?	Adam and Eve had everything they needed in the garden. There was no sin or shame, and they were able to walk with God and speak directly to him (See: [2:1](02/01)).
2:2-4	sc9q	meaning			How did the snake convince the woman to eat the fruit of the tree of the knowledge of good and evil?	The snake first questioned what God said (See: [2:2](02/02)). He next called God a liar (See: [2:4](02/04)). Finally, he told the woman that she could be like God (See: [2:4](02/04)).
2:5	h832	meaning			Why did the woman eat the fruit?	Eve thought the fruit looked good, and she wanted to be wise like God. Therefore, she decided to disobey God and to eat the fruit.
2:6-7	i1c1	meaning			What did Adam and Eve do after they ate the fruit?	They were both ashamed, and tried to cover themselves with leaves. Then they tried to hide from God (See: [2:6](02/06), [2:7](02/07)).
2:8	ueff	meaning			What answer did Adam give when God asked if he had eaten the fruit?	Adam did not admit that he had sinned. Instead, he blamed his wife.
2:8	sjcw	meaning			What answer did Eve give when God asked her what she had done?	Eve did not admit that she had sinned. Instead, she blamed the snake.
2:9	efs9	meaning			What would the snake do to Eve’s descendant, and what would he do to the snake?	Eve’s descendant would kill the snake by crushing its head. The snake would wound Eve’s descendant by biting him on the heel of his foot.
2:6	sbs5	meaning			What did God use to cover Adam and Eve?	God covered them with animal skins. Most scholars think this was the first animal sacrifice. God killed the animals and took their skins to cover Adam and Eve.
2:11	ivb5	meaning			What did God want to say when he said that Adam’s body would return to the soil?	God made Adam from the soil (See: [1:10](01/10)). When he died, he would become soil once again.
2:12	hduz	meaning			Why did God send Adam and Eve out of the garden?	God did not want them to eat from the tree of life in the garden and live forever as sinners.
2:4-5	hj93	application			Why do you think Eve forgot about all the things God had given her, and only focused on the one fruit that God told her not to eat?	People often do not like someone telling them not to do something. They want to do whatever they want to do. Eve did not care that it was God who told her not to eat the fruit, or that God told her not to eat it in order to protect her.
2:6-7	m4lz	application			Why do you think Adam and Eve tried to cover their shame and hid from God?	When they disobeyed God by eating the fruit, they became sinners. They were so ashamed that they did not want God to see them.
2:8	lbtc	application			How did Adam and Eve answer God when he asked them what they had done?	Adam and Eve both blamed someone else for what they had done. Adam blamed Eve, and Eve blamed the snake. Neither of them was willing to tell God the truth about what they did.
2:9-11	bu7f	application			How did the curses match the way that Adam, Eve, and the snake disobeyed God?	Adam ate the fruit, so God made it difficult for him to grow food. Eve caused Adam to sin, so God gave Adam power over Eve. The snake spoke as if he were wiser than God, so God made him crawl on his belly.
2:12	ft2u	application			Why was it bad for Adam and Eve to know good and evil?	Their knowledge of good and evil was knowledge gained by personal experience. That experience of making an evil choice caused them to be separated from God. Their fellowship with him was broken (See: [2:12](02/12)).
2:1-12	riav	summary				God provided everything Adam and Eve needed in the garden. The fruit of the tree of the knowledge of good and evil was the only thing they could not have. The snake convinced Eve that God did not want them to be wise, and that was why God told them not to eat the fruit. So Adam and Eve disobeyed God and sinned by eating the fruit. They immediately were ashamed and hid from God. God cursed Adam, Eve, and the snake because of what they had done. Then God drove them out of the garden so they would not eat the fruit of the tree of life and live forever as sinners. But God also promised him that a descendant of the woman would later come and kill the snake.
3:1	wnpx	meaning			What did God decide to do about the wicked and violent people on the earth?	He decided to destroy them with a huge flood (See: [3:1](03/01)).
3:1	o0tr	application			Why did God decide to destroy the world?	God created people to be with him. But God is good and cannot accept things that are evil. Because almost all the people became wicked and disobeyed him, he decided to destroy all those evil people (See: [3:1](03/01)).
3:2	t4lt	application			Why did God save Noah and his family?	God did not want to destroy all that he had made. Therefore, he chose to save Noah and his family because Noah was a righteous person who honored God. God would allow Noah’s descendants to fill the earth after the wicked people died.
3:2	w9fj	meaning			How was Noah different than the other people?	Noah was a righteous man even though he lived among wicked people (See: [3:2](03/02)).
3:3	eiry	meaning			What was the purpose of the boat that God told Noah to build?	The boat would keep Noah and his family safe during the flood (See: [3:3](03/03)).
3:4	r4bp	application			Why was no one else besides Noah’s family ready when the flood came?	The boat was very large, and it took Noah and his sons a very long time to build it. Many other people would have seen Noah building the boat and would have asked him about it. But none of them believed God would destroy them, so none of them were ready when the flood came (See: [3:4](03/04)).
3:5	gn1v	meaning			How many people entered into the boat?	Eight people entered into the boat—Noah and his wife, and his three sons and their wives. No one else believed the flood would happen (See: [3:4](03/04), [3:5](03/05)).
3:6	icmi	meaning			Why did the animals come to the boat?	God sent some of each kind of the animals to the boat (See: [3:6](03/06)).
3:6	mrmc	application			Why did other people not come into the boat when the rain began?	God himself closed the door of the boat before the rain began. After God did that, it was too late for people to enter into the boat and be saved from the flood (See: [3:6](03/06)).
3:7	f5xd	meaning			How long did the rain last?	The rain continued for 40 days and 40 nights (See: [3:7](03/07)).
3:8	uqid	meaning			What happened to all the people and animals during the flood?	Noah’s family and the animals that were inside the boat were safe. Every person and animal that was outside the boat died (See: [3:8](03/08)).
3:9-13	s7qi	meaning			How long did the flood continue on the earth?	The boat floated on the water for five months, it took three more months for the mountains to be visible (See: [3:9](03/09)). It was several more months before the land was dry enough for Noah and his family to come out of the boat ([3:10](03/10) to [3:13](03/13)).
3:14	vgft	meaning			What was the first thing Noah that did when he came out of the boat?	Noah built and altar and sacrificed some of the animals to God (See: [3:14](03/14)).
3:14	m4sj	application			Why did Noah build an altar and offer a sacrifice to God?	Noah was a righteous man who honored God both before and after the flood. He knew that God had saved him and his family. Therefore, the first thing he did when he left the boat was to honor God with a sacrifice (See: [3:14](03/14)).
3:15	nyui	meaning			What promise did God make to Noah after the flood?	God promised that he would not destroy the earth with a flood again. He put a rainbow in the sky as a sign of this promise (See: [3:15](03/15), [3:16](03/16)).
3:16	f6or	application			Why is the rainbow important?	The rainbow that appears after a rain reminds God and people of God’s promise. He said he will never destroy the earth again with a flood.
